name,category,language,primary_use,doc_quality_score,code_quality_score,popularity_estimate,improvement_potential,test_coverage_estimate,last_active,composite_improvement_score
EIGENSOFT,population_genetics,C,Population stratification,4.47,4.61,9.4,7.34,4.55,active,62.46
Bismark,epigenomics,Perl,Bisulfite-seq alignment,5.38,4.29,8.8,6.92,3.64,active,61.31
minimap2,alignment,C,Long-read alignment,4.03,5.95,8.8,6.77,3.26,active,61.14
MAKER,annotation,Perl,Genome annotation pipeline,3.55,5.62,8.2,7.06,3.88,active,61.13
PRINSEQ,qc,Perl,Sequence quality control,5.74,4.83,9.1,6.53,3.09,active,60.31
IQ-TREE,phylogenetics,C++,Phylogenetic inference,4.73,5.49,9.4,6.77,4.34,active,59.46
StringTie,rnaseq,C++,Transcript assembly,4.8,5.98,8.8,6.37,3.0,active,59.26
PHASE,population_genetics,C,Haplotype reconstruction,5.16,4.68,7.3,6.54,3.07,active,58.94
EvidenceModeler,annotation,Perl,Gene structure combination,4.04,4.67,6.1,6.86,3.69,active,58.69
mothur,metagenomics,C++,Microbial ecology,5.67,5.09,9.1,6.44,3.73,active,58.46
LoFreq,variant_calling,C,Low-frequency variant caller,4.48,6.78,9.4,6.25,3.73,active,57.56
Minia,assembly,C++,Low-memory assembly,4.55,5.25,8.8,6.86,5.4,active,57.4
PLINK,population_genetics,C/C++,GWAS analysis,5.37,5.61,10.0,6.51,5.21,active,56.64
STAR,alignment,C++,RNA-seq aligner,5.11,5.83,9.4,6.41,4.89,active,56.2
STRUCTURE,population_genetics,C,Population structure,4.95,6.07,8.8,6.25,4.28,active,55.98
BWA,alignment,C,DNA sequence alignment,6.36,5.3,10.0,6.17,4.77,active,55.48
Ray,assembly,C++,Parallel assembly,5.54,6.01,9.4,6.1,4.96,active,54.23
RAxML,phylogenetics,C,Maximum likelihood trees,5.41,5.8,9.7,6.33,5.9,active,53.97
methylKit,epigenomics,R,DNA methylation,6.69,5.99,9.1,5.48,3.15,active,53.86
NovoAlign,alignment,C,Short read alignment,5.99,4.82,5.2,5.64,2.13,active,53.71
ms,population_genetics,C,Coalescent simulation,4.25,5.34,3.7,5.94,2.54,active,53.55
MaxBin,metagenomics,Perl,Genome binning,5.95,4.8,8.2,6.26,5.32,active,53.51
