QUAL<30	200,
QUAL>=30	100,300,400,50,150,
AC>1	300,400,50,150,
AC=1	100,200,400,
AF>0.2	100,300,400,50,150,
TYPE="snp"	100,200,400,50,
TYPE="indel"	300,
DP>50	
DP<=50	
INFO/DP>50	300,400,150,
AN=6	200,300,400,
AC[0]>1	300,400,50,150,
N_ALT=1	100,200,300,50,150,
POS>200	300,400,
POS=100	100,
ID="rs1"	100,
REF="A"	100,150,
ALT="T"	100,400,
ALT[1]="G"	400,
CHROM="chr1"	100,200,300,400,
GT="hom"	100,200,300,400,50,
GT="het"	100,200,300,400,50,150,
GT="RR"	100,200,400,
GT="AA"	300,50,
GT="ra"	100,200,300,400,50,150,
GT="Aa"	400,
GT="mis"	50,150,
GT="ref"	100,200,400,
GT="alt"	100,200,300,400,50,150,
GT="0/1"	100,200,300,400,50,150,
GT="1/1"	300,50,
N_PASS(GT="alt")>0	100,200,300,400,50,150,
COUNT(GT="het")>1	300,400,150,
F_PASS(GT="het")>0.5	300,400,150,
FORMAT/DP>10	100,300,400,150,
FMT/GQ>20	100,300,400,50,150,
N_PASS(FMT/DP>20)>1	300,400,150,
MAX(FMT/GQ)=80	50,
MIN(FMT/DP)<10	200,
AVG(FMT/GQ)>40	300,400,50,
STRLEN(REF)=1	100,200,400,50,150,
STRLEN(ALT)=1	100,200,300,400,50,
ILEN<0	300,
ILEN=0	100,200,400,50,
ILEN<=0	100,200,300,400,50,
ILEN!=0	300,150,
