reldist	count	total	fraction
0.00	164	43408	0.004
0.01	551	43408	0.013
0.02	598	43408	0.014
0.03	637	43408	0.015
0.04	793	43408	0.018
0.05	688	43408	0.016
0.06	874	43408	0.020
0.07	765	43408	0.018
0.08	685	43408	0.016
0.09	929	43408	0.021
0.10	876	43408	0.020
0.11	959	43408	0.022
0.12	860	43408	0.020
0.13	851	43408	0.020
0.14	903	43408	0.021
0.15	893	43408	0.021
0.16	883	43408	0.020
0.17	828	43408	0.019
0.18	917	43408	0.021
0.19	875	43408	0.020
0.20	897	43408	0.021
0.21	986	43408	0.023
0.22	903	43408	0.021
0.23	944	43408	0.022
0.24	904	43408	0.021
0.25	867	43408	0.020
0.26	943	43408	0.022
0.27	933	43408	0.021
0.28	1132	43408	0.026
0.29	881	43408	0.020
0.30	851	43408	0.020
0.31	963	43408	0.022
0.32	950	43408	0.022
0.33	965	43408	0.022
0.34	907	43408	0.021
0.35	884	43408	0.020
0.36	965	43408	0.022
0.37	944	43408	0.022
0.38	911	43408	0.021
0.39	939	43408	0.022
0.40	921	43408	0.021
0.41	950	43408	0.022
0.42	935	43408	0.022
0.43	919	43408	0.021
0.44	915	43408	0.021
0.45	934	43408	0.022
0.46	843	43408	0.019
0.47	850	43408	0.020
0.48	1006	43408	0.023
0.49	937	43408	0.022
