reldist	count	total	fraction
0.00	20629	43422	0.475
0.01	2629	43422	0.061
0.02	1427	43422	0.033
0.03	985	43422	0.023
0.04	897	43422	0.021
0.05	756	43422	0.017
0.06	667	43422	0.015
0.07	557	43422	0.013
0.08	603	43422	0.014
0.09	487	43422	0.011
0.10	461	43422	0.011
0.11	423	43422	0.010
0.12	427	43422	0.010
0.13	435	43422	0.010
0.14	375	43422	0.009
0.15	367	43422	0.008
0.16	379	43422	0.009
0.17	371	43422	0.009
0.18	346	43422	0.008
0.19	389	43422	0.009
0.20	377	43422	0.009
0.21	411	43422	0.009
0.22	377	43422	0.009
0.23	352	43422	0.008
0.24	334	43422	0.008
0.25	315	43422	0.007
0.26	370	43422	0.009
0.27	330	43422	0.008
0.28	332	43422	0.008
0.29	278	43422	0.006
0.30	309	43422	0.007
0.31	326	43422	0.008
0.32	287	43422	0.007
0.33	294	43422	0.007
0.34	306	43422	0.007
0.35	307	43422	0.007
0.36	309	43422	0.007
0.37	271	43422	0.006
0.38	293	43422	0.007
0.39	311	43422	0.007
0.40	331	43422	0.008
0.41	320	43422	0.007
0.42	299	43422	0.007
0.43	327	43422	0.008
0.44	321	43422	0.007
0.45	326	43422	0.008
0.46	306	43422	0.007
0.47	354	43422	0.008
0.48	365	43422	0.008
0.49	336	43422	0.008
0.50	38	43422	0.001
