min_len: 4; max_len: 12; avg_len: 9.00; 3 distinct quality values
POS	#bases	%A	%C	%G	%T	%N	avgQ	errQ	%Q0	%Q2	%Q40
ALL	36	27.8	19.4	22.2	25.0	5.6	22.9	6.5	11.11	33.33	55.56
1	4	50.0	0.0	25.0	25.0	0.0	20.5	6.0	25.00	25.00	50.00
2	4	0.0	75.0	0.0	25.0	0.0	20.5	6.0	25.00	25.00	50.00
3	4	25.0	0.0	50.0	25.0	0.0	20.5	6.0	25.00	25.00	50.00
4	4	0.0	0.0	0.0	100.0	0.0	20.5	6.0	25.00	25.00	50.00
5	3	66.7	0.0	33.3	0.0	0.0	27.3	7.8	0.00	33.33	66.67
6	3	33.3	66.7	0.0	0.0	0.0	27.3	7.8	0.00	33.33	66.67
7	3	66.7	0.0	33.3	0.0	0.0	27.3	7.8	0.00	33.33	66.67
8	3	33.3	0.0	0.0	66.7	0.0	27.3	7.8	0.00	33.33	66.67
9	3	33.3	0.0	33.3	0.0	33.3	27.3	7.8	0.00	33.33	66.67
10	3	0.0	66.7	0.0	0.0	33.3	27.3	7.8	0.00	33.33	66.67
11	1	0.0	0.0	100.0	0.0	0.0	2.0	3.0	0.00	100.00	0.00
12	1	0.0	0.0	100.0	0.0	0.0	2.0	3.0	0.00	100.00	0.00
