min_len: 10; max_len: 10; avg_len: 10.00; 3 distinct quality values
POS	#bases	%A	%C	%G	%T	%N	avgQ	errQ	%Q0	%Q2	%Q40
ALL	30	30.0	20.0	23.3	26.7	0.0	22.0	6.3	13.33	33.33	53.33
1	3	33.3	0.0	33.3	33.3	0.0	14.0	4.8	33.33	33.33	33.33
2	3	0.0	66.7	0.0	33.3	0.0	14.0	4.8	33.33	33.33	33.33
3	3	33.3	0.0	33.3	33.3	0.0	14.0	4.8	33.33	33.33	33.33
4	3	0.0	0.0	0.0	100.0	0.0	14.0	4.8	33.33	33.33	33.33
5	3	66.7	0.0	33.3	0.0	0.0	27.3	7.8	0.00	33.33	66.67
6	3	33.3	66.7	0.0	0.0	0.0	27.3	7.8	0.00	33.33	66.67
7	3	66.7	0.0	33.3	0.0	0.0	27.3	7.8	0.00	33.33	66.67
8	3	33.3	0.0	0.0	66.7	0.0	27.3	7.8	0.00	33.33	66.67
9	3	33.3	0.0	66.7	0.0	0.0	27.3	7.8	0.00	33.33	66.67
10	3	0.0	66.7	33.3	0.0	0.0	27.3	7.8	0.00	33.33	66.67
