min_len: 10; max_len: 10; avg_len: 10.00; 3 distinct quality values
POS	#bases	%A	%C	%G	%T	%N	avgQ	errQ	%low	%high
ALL	30	30.0	20.0	23.3	26.7	0.0	22.0	6.3	46.7	53.3
1	3	33.3	0.0	33.3	33.3	0.0	14.0	4.8	66.7	33.3
2	3	0.0	66.7	0.0	33.3	0.0	14.0	4.8	66.7	33.3
3	3	33.3	0.0	33.3	33.3	0.0	14.0	4.8	66.7	33.3
4	3	0.0	0.0	0.0	100.0	0.0	14.0	4.8	66.7	33.3
5	3	66.7	0.0	33.3	0.0	0.0	27.3	7.8	33.3	66.7
6	3	33.3	66.7	0.0	0.0	0.0	27.3	7.8	33.3	66.7
7	3	66.7	0.0	33.3	0.0	0.0	27.3	7.8	33.3	66.7
8	3	33.3	0.0	0.0	66.7	0.0	27.3	7.8	33.3	66.7
9	3	33.3	0.0	66.7	0.0	0.0	27.3	7.8	33.3	66.7
10	3	0.0	66.7	33.3	0.0	0.0	27.3	7.8	33.3	66.7
